password_id,family,condition,group_id,password,chunks,known_prefix_chunks,expected_structural_label,use_for_continuation_dp
E2_046,gacha_anime,control,gacha_anime_23,narutohamper,naruto|hamper,1,uncertain,True
E2_047,gacha_anime,linked,gacha_anime_24,onepieceluffy,onepiece|luffy,1,yes,True
E2_048,gacha_anime,control,gacha_anime_24,onepiecelantern,onepiece|lantern,1,uncertain,True
E2_049,gacha_anime,linked,gacha_anime_25,mikuvocaloid,miku|vocaloid,1,yes,True
E2_050,gacha_anime,control,gacha_anime_25,mikuvacuum,miku|vacuum,1,uncertain,True
E2_051,pokemon,linked,pokemon_26,flareonfirestone,flareon|firestone,1,yes,True
E2_052,pokemon,control,pokemon_26,flareonflowerpot,flareon|flowerpot,1,uncertain,True
E2_053,pokemon,linked,pokemon_27,eeveeumbreon,eevee|umbreon,1,yes,True
E2_054,pokemon,control,pokemon_27,eeveeumbrella,eevee|umbrella,1,uncertain,True
E2_055,pokemon,linked,pokemon_28,charizardfirefly,charizard|firefly,1,yes,True
E2_056,pokemon,control,pokemon_28,charizardfolder,charizard|folder,1,uncertain,True
E2_057,pokemon,linked,pokemon_29,squirtlewatergun,squirtle|watergun,1,yes,True
E2_058,pokemon,control,pokemon_29,squirtlewindow,squirtle|window,1,uncertain,True
E2_059,pokemon,linked,pokemon_30,bulbasaurvinewhip,bulbasaur|vinewhip,1,yes,True
E2_060,pokemon,control,pokemon_30,bulbasaurviolin,bulbasaur|violin,1,uncertain,True
E2_061,tech_web,linked_chain,tech_web_chain_01,dockerimagecontainerregistry,docker|image|container|registry,1,yes,True
E2_062,tech_web,control_chain,tech_web_chain_01,dockercurtaincontainerregistry,docker|curtain|container|registry,1,uncertain,True
E2_063,tech_web,linked_chain,tech_web_chain_02,kubernetespodcontainercluster,kubernetes|pod|container|cluster,1,yes,True
E2_064,tech_web,control_chain,tech_web_chain_02,kubernetespillowcontainercluster,kubernetes|pillow|container|cluster,1,uncertain,True
E2_065,gaming,linked_chain,gaming_chain_03,valorantjettduelistmain,valorant|jett|duelist|main,1,yes,True
E2_066,gaming,control_chain,gaming_chain_03,valorantkettleduelistmain,valorant|kettle|duelist|main,1,uncertain,True
E2_067,public_culture,linked_chain,public_culture_chain_04,pokemoneeveeumbreonmoonlight,pokemon|eevee|umbreon|moonlight,1,yes,True
E2_068,public_culture,control_chain,public_culture_chain_04,pokemonpaperumbreonmoonlight,pokemon|paper|umbreon|moonlight,1,uncertain,True
E2_069,campus,linked_chain,campus_chain_05,uclabruinswestwoodblue,ucla|bruins|westwood|blue,1,yes,True
E2_070,campus,control_chain,campus_chain_05,uclabicyclewestwoodblue,ucla|bicycle|westwood|blue,1,uncertain,True
E2_071,gacha_anime,linked_chain,gacha_anime_chain_06,genshinfurinafontainearchon,genshin|furina|fontaine|archon,1,yes,True
E2_072,gacha_anime,control_chain,gacha_anime_chain_06,genshinfaucetfontainearchon,genshin|faucet|fontaine|archon,1,uncertain,True
E2_073,sequence,linked_sequence,sequence_01,12345678910111213141516171819202122232425,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25,1,yes,True
E2_074,sequence,sequence_control,sequence_01,12468101214161820222435791113151719212325,1|2|4|6|8|10|12|14|16|18|20|22|24|3|5|7|9|11|13|15|17|19|21|23|25,1,uncertain,True
E2_075,sequence,linked_sequence,sequence_02,101112131415161718192021222324252627282930,10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30,1,yes,True
E2_076,sequence,sequence_control,sequence_02,101113151719212325272912141618202224262830,10|11|13|15|17|19|21|23|25|27|29|12|14|16|18|20|22|24|26|28|30,1,uncertain,True
E2_077,sequence,linked_sequence,sequence_03,101102103104105106107108109110111112113114115116117118119120,101|102|103|104|105|106|107|108|109|110|111|112|113|114|115|116|117|118|119|120,1,yes,True
E2_078,sequence,sequence_control,sequence_03,101102104106108110112114116118120103105107109111113115117119,101|102|104|106|108|110|112|114|116|118|120|103|105|107|109|111|113|115|117|119,1,uncertain,True
E2_079,sequence,linked_sequence,sequence_04,100103106109112115118121124127130133136139142,100|103|106|109|112|115|118|121|124|127|130|133|136|139|142,1,yes,True
E2_080,sequence,sequence_control,sequence_04,100103109115121127133139106112118124130136142,100|103|109|115|121|127|133|139|106|112|118|124|130|136|142,1,uncertain,True
E2_081,sequence,linked_sequence,sequence_05,97100103106109112115118121124127130133136139,97|100|103|106|109|112|115|118|121|124|127|130|133|136|139,1,yes,True
E2_082,sequence,sequence_control,sequence_05,97100106112118124130136103109115121127133139,97|100|106|112|118|124|130|136|103|109|115|121|127|133|139,1,uncertain,True
E2_083,sequence,linked_sequence,sequence_06,135791113151719212325272931,1|3|5|7|9|11|13|15|17|19|21|23|25|27|29|31,1,yes,True
E2_084,sequence,sequence_control,sequence_06,137111519232731591317212529,1|3|7|11|15|19|23|27|31|5|9|13|17|21|25|29,1,uncertain,True
E2_085,sequence,linked_sequence,sequence_07,4244464850525456586062646668,42|44|46|48|50|52|54|56|58|60|62|64|66|68,1,yes,True
E2_086,sequence,sequence_control,sequence_07,4244485256606468465054586266,42|44|48|52|56|60|64|68|46|50|54|58|62|66,1,uncertain,True
E2_087,sequence,linked_sequence,sequence_08,1a1b1c1d1e1f1g1h1i1j1k1l1m1n1o1p,1a|1b|1c|1d|1e|1f|1g|1h|1i|1j|1k|1l|1m|1n|1o|1p,1,yes,True
E2_088,sequence,sequence_control,sequence_08,1a1b1d1f1h1j1l1n1p1c1e1g1i1k1m1o,1a|1b|1d|1f|1h|1j|1l|1n|1p|1c|1e|1g|1i|1k|1m|1o,1,uncertain,True
E2_089,sequence,linked_sequence,sequence_09,a7b7c7d7e7f7g7h7i7j7k7l7m7,a7|b7|c7|d7|e7|f7|g7|h7|i7|j7|k7|l7|m7,1,yes,True
E2_090,sequence,sequence_control,sequence_09,a7b7d7f7h7j7l7c7e7g7i7k7m7,a7|b7|d7|f7|h7|j7|l7|c7|e7|g7|i7|k7|m7,1,uncertain,True
E2_091,sequence,linked_sequence,sequence_10,a1b2c3d4e5f6g7h8i9j10k11l12,a1|b2|c3|d4|e5|f6|g7|h8|i9|j10|k11|l12,1,yes,True
E2_092,sequence,sequence_control,sequence_10,a1b2d4f6h8j10l12c3e5g7i9k11,a1|b2|d4|f6|h8|j10|l12|c3|e5|g7|i9|k11,1,uncertain,True
E2_093,sequence,linked_sequence,sequence_11,janfebmaraprmayjunjulaugsepoctnovdec,jan|feb|mar|apr|may|jun|jul|aug|sep|oct|nov|dec,1,yes,True
E2_094,sequence,sequence_control,sequence_11,janfebaprjunaugoctdecmarmayjulsepnov,jan|feb|apr|jun|aug|oct|dec|mar|may|jul|sep|nov,1,uncertain,True
E2_095,sequence,linked_sequence,sequence_12,montuewedthufrisatsun,mon|tue|wed|thu|fri|sat|sun,1,yes,True
E2_096,sequence,sequence_control,sequence_12,montuethusatwedfrisun,mon|tue|thu|sat|wed|fri|sun,1,uncertain,True
E2_097,sequence,linked_sequence,sequence_13,iiiiiiivvviviiviiiixxxixii,i|ii|iii|iv|v|vi|vii|viii|ix|x|xi|xii,1,yes,True
E2_098,sequence,sequence_control,sequence_13,iiiivviviiixxiiiiivviiixxi,i|ii|iv|vi|viii|x|xii|iii|v|vii|ix|xi,1,uncertain,True
E2_099,sequence,linked_sequence,sequence_14,149162536496481100121144,1|4|9|16|25|36|49|64|81|100|121|144,1,yes,True
E2_100,sequence,sequence_control,sequence_14,141636641001449254981121,1|4|16|36|64|100|144|9|25|49|81|121,1,uncertain,True
E2_101,sequence,linked_sequence,sequence_15,01101110010111011110001001101010111100,0|1|10|11|100|101|110|111|1000|1001|1010|1011|1100,1,yes,True
E2_102,sequence,sequence_control,sequence_15,01111011111001101110100110100010101100,0|1|11|101|111|1001|1011|10|100|110|1000|1010|1100,1,uncertain,True
E2_138,phrase,phrase_linked,phrase_01,correcthorsebatterystaple,correct|horse|battery|staple,1,yes,True
E2_139,phrase,phrase_control,phrase_01,correctxq7staple,correct|xq7|staple,1,uncertain,True
E2_140,phrase,phrase_linked,phrase_02,purpledragoncoffeemoon,purple|dragon|coffee|moon,1,yes,True
E2_141,phrase,phrase_control,phrase_02,purplemz4moon,purple|mz4|moon,1,uncertain,True
E2_142,phrase,phrase_linked,phrase_03,winterfoxblanketcandle,winter|fox|blanket|candle,1,yes,True
E2_143,phrase,phrase_control,phrase_03,winterxq7candle,winter|xq7|candle,1,uncertain,True
E2_144,phrase,phrase_linked,phrase_04,orangeriversilentgarden,orange|river|silent|garden,1,yes,True
E2_145,phrase,phrase_control,phrase_04,orangemz4garden,orange|mz4|garden,1,uncertain,True
E2_146,phrase,phrase_linked,phrase_05,silverrobotpaperlantern,silver|robot|paper|lantern,1,yes,True
E2_147,phrase,phrase_control,phrase_05,silvermz4lantern,silver|mz4|lantern,1,uncertain,True
E2_148,phrase,phrase_linked,phrase_06,tinycloudmusicpencil,tiny|cloud|music|pencil,1,yes,True
E2_149,phrase,phrase_control,phrase_06,tinyrt9pencil,tiny|rt9|pencil,1,uncertain,True
