password_id,family,condition,length_tier,password,chunks,known_prefix,target_remainder,full_password_from_chunks,zxcvbn_score,zxcvbn_guesses_log10,zxcvbn_feedback_warning,qwen25_1p5b_llm_remainder_log10,qwen25_1p5b_dp_status,qwen25_1p5b_states_expanded,qwen25_1p5b_finished_paths,qwen25_1p5b_pruned_paths,qwen25_1p5b_truncated,mistral7b_v03_llm_remainder_log10,mistral7b_v03_dp_status,mistral7b_v03_states_expanded,mistral7b_v03_finished_paths,mistral7b_v03_pruned_paths,mistral7b_v03_truncated,best_llm_remainder_log10,best_model_alias,uniform_mixture_llm_remainder_log10,best_plus_log10M_llm_remainder_log10,model_log10_gap_abs,model_log10_gap_signed
campus_01,campus,linked,short,uclabruin,ucla|bruin,ucla,bruin,uclabruin,3,8.065250975426972,,7.33668496834503,ok,14,12,0,False,4.380122512048865,ok,201,512,8,True,4.380122512048865,mistral7b_v03,4.6806727941734225,4.681152507712846,2.956562456296165,2.956562456296165
campus_01c,campus,control,short,uclabicycle,ucla|bicycle,ucla,bicycle,uclabicycle,2,7.228517386836888,This is similar to a commonly used password.,9.557916802274937,ok,50,49,0,False,5.595123454876133,ok,1177,512,3546,True,5.595123454876133,mistral7b_v03,5.896106138975793,5.8961534505401145,3.9627933473988035,3.9627933473988035
campus_02,campus,linked,short,UclaBruins26,ucla|bruins|26,ucla,bruins26,uclabruins26,3,9.95748545683548,,10.423798008539173,ok,70,22,0,False,6.988016599340178,ok,1737,512,2428,True,6.988016599340178,mistral7b_v03,7.2888874022474885,7.28904659500416,3.435781409198994,3.435781409198994
campus_02c,campus,control,short,UclaBicycle26,ucla|bicycle|26,ucla,bicycle26,uclabicycle26,4,10.309576345637545,,12.486456248373107,ok,148,49,0,False,9.080347180149962,ok,2201,512,4570,True,9.080347180149962,mistral7b_v03,9.381206728556895,9.381377175813943,3.406109068223145,3.406109068223145
campus_03,campus,linked,short,westwooducla,westwood|ucla,westwood,ucla,westwooducla,2,7.346304455960586,This is similar to a commonly used password.,6.187212395346252,ok,7,6,0,False,5.952141830959613,ok,50,128,0,False,5.952141830959613,mistral7b_v03,6.053962974213917,6.2531718266235945,0.2350705643866391,0.2350705643866391
campus_03c,campus,control,short,westwoodlamp,westwood|lamp,westwood,lamp,westwoodlamp,2,7.104703931279857,This is similar to a commonly used password.,4.75730777130606,ok,8,8,0,False,5.327987848622127,ok,55,146,0,False,4.75730777130606,qwen25_1p5b,4.954967759143805,5.058337766970041,0.5706800773160667,-0.5706800773160667
campus_04,campus,linked,short,cs180dp,cs180|dp,cs180,dp,cs180dp,2,7.000000043429445,,3.6134656205677538,ok,2,2,0,False,4.871252980126728,ok,4,11,0,False,3.6134656205677538,qwen25_1p5b,3.8911465187107606,3.914495616231735,1.2577873595589746,-1.2577873595589746
campus_04c,campus,control,short,cs180river,cs180|river,cs180,river,cs180river,2,7.477265995424852,,5.524025974007589,ok,16,16,0,False,5.765394186729272,ok,205,512,44,True,5.524025974007589,qwen25_1p5b,5.628153368331967,5.8250559696715705,0.24136821272168252,-0.24136821272168252
campus_05,campus,linked,short,cs180greedy,cs180|greedy,cs180,greedy,cs180greedy,3,8.80099872860755,,6.443497526673867,ok,31,27,0,False,6.312360108041012,ok,701,512,1327,True,6.312360108041012,mistral7b_v03,6.3729978069589,6.613390103704993,0.13113741863285533,0.13113741863285533
campus_05c,campus,control,short,cs180kettle,cs180|kettle,cs180,kettle,cs180kettle,3,9.016953989789169,,7.260027007351088,ok,28,25,0,False,7.425170811960493,ok,687,512,1276,True,7.260027007351088,qwen25_1p5b,7.334796101862342,7.561057003015069,0.16514380460940536,-0.16514380460940536
campus_06,campus,linked,short,ece202ccfi,ece202c|cfi,ece202c,cfi,ece202ccfi,3,9.193127382284525,,8.37034753585643,ok,4,3,0,False,8.553747181242194,ok,15,39,0,False,8.37034753585643,qwen25_1p5b,8.452437394723926,8.671377531520411,0.18339964538576403,-0.18339964538576403
campus_06c,campus,control,short,ece202ctable,ece202c|table,ece202c,table,ece202ctable,4,10.068927982240345,,7.68828501168369,ok,16,16,0,False,6.430852435041493,ok,204,512,44,True,6.430852435041493,mistral7b_v03,6.708514755381325,6.7318824307054745,1.2574325766421968,1.2574325766421968
campus_07,campus,linked,medium,uclawestwoodbruins,ucla|westwood|bruins,ucla,westwoodbruins,uclawestwoodbruins,4,10.764990995511397,,11.76139907094494,ok,1925,512,1640,True,7.904753157387957,ok,4809,512,20641,True,7.904753157387957,mistral7b_v03,8.20572274314142,8.205783153051938,3.8566459135569824,3.8566459135569824
campus_07c,campus,control,medium,uclagardenbruins,ucla|garden|bruins,ucla,gardenbruins,uclagardenbruins,4,10.356844436325611,,14.66594591228402,ok,978,512,294,True,9.428215845828896,ok,3765,512,15670,True,9.428215845828896,mistral7b_v03,9.72924332929995,9.729245841492878,5.237730066455123,5.237730066455123
campus_08,campus,linked,medium,cs180dpgreedyfinal,cs180|dp|greedy|final,cs180,dpgreedyfinal,cs180dpgreedyfinal,4,13.552272182866217,,14.957445607465493,ok,1100,512,508,True,14.85793785818394,ok,4289,512,18804,True,14.85793785818394,mistral7b_v03,14.904847980308416,15.158967853847921,0.09950774928155326,0.09950774928155326
campus_08c,campus,control,medium,cs180dplanternfinal,cs180|dp|lantern|final,cs180,dplanternfinal,cs180dplanternfinal,4,13.617803776599063,,15.892443820456498,ok,1982,512,2207,True,16.24697369129258,ok,4801,512,22506,True,15.892443820456498,qwen25_1p5b,16.034493885247134,16.193473816120477,0.35452987083608356,-0.35452987083608356
gaming_01,gaming,linked,short,jett-main,jett|main,jett,main,jettmain,2,7.597804842404292,,4.6553556718265,ok,8,8,0,False,4.337211436368702,ok,55,150,0,False,4.337211436368702,mistral7b_v03,4.467780315237377,4.638241432032683,0.31814423545779835,0.31814423545779835
gaming_01c,gaming,control,short,jett-paper,jett|paper,jett,paper,jettpaper,3,8.092053606425475,,6.152501258053444,ok,13,13,0,False,4.942183676332335,ok,200,512,30,True,4.942183676332335,mistral7b_v03,5.217246859928433,5.243213671996316,1.2103175817211094,1.2103175817211094
gaming_02,gaming,linked,short,valorantjett,valorant|jett,valorant,jett,valorantjett,4,11.114409093782406,,4.644876281796242,ok,8,7,0,False,5.409401333284395,ok,56,151,0,False,4.644876281796242,qwen25_1p5b,4.876986516665946,4.945906277460224,0.7645250514881523,-0.7645250514881523
gaming_02c,gaming,control,medium,valorantkettle,valorant|kettle,valorant,kettle,valorantkettle,4,11.448853973472472,,6.358914776682224,ok,28,25,0,False,6.680772697887484,ok,687,512,1276,True,6.358914776682224,qwen25_1p5b,6.490685768282145,6.659944772346205,0.32185792120526013,-0.32185792120526013
gaming_03,gaming,linked,short,sagehealer,sage|healer,sage,healer,sagehealer,2,7.553979434169929,,5.3845636757124105,ok,26,24,0,False,5.020979519843414,ok,669,512,1258,True,5.020979519843414,mistral7b_v03,5.165785095386607,5.322009515507395,0.3635841558689963,0.3635841558689963
gaming_03c,gaming,control,short,sagelamp,sage|lamp,sage,lamp,sagelamp,2,7.127373264927097,Common names and surnames are easy to guess.,6.782416899284624,ok,8,8,0,False,6.606494608972063,ok,55,146,0,False,6.606494608972063,mistral7b_v03,6.685608259633458,6.907524604636044,0.17592229031256146,0.17592229031256146
gaming_04,gaming,linked,medium,MinecraftCreeper,minecraft|creeper,minecraft,creeper,minecraftcreeper,2,7.388149532800528,This is similar to a commonly used password.,4.240714483695105,ok,44,42,0,False,3.1135280044971374,ok,1199,512,3571,True,3.1135280044971374,mistral7b_v03,3.3833059782144135,3.4145580001611187,1.1271864791979676,1.1271864791979676
gaming_04c,gaming,control,medium,MinecraftRiver,minecraft|river,minecraft,river,minecraftriver,1,5.700703717145019,This is similar to a commonly used password.,5.2671337125448074,ok,16,16,0,False,4.780995275495997,ok,205,512,44,True,4.780995275495997,mistral7b_v03,4.9593233388664855,5.082025271159978,0.4861384370488109,0.4861384370488109
gaming_05,gaming,linked,short,zeldalink,zelda|link,zelda,link,zeldalink,2,6.4168451266416335,Common names and surnames are easy to guess.,6.826041810590148,ok,8,8,0,False,3.973338989153963,ok,56,131,0,False,3.973338989153963,mistral7b_v03,4.273759761044345,4.2743689848179445,2.8527028214361847,2.8527028214361847
gaming_05c,gaming,control,short,zeldatable,zelda|table,zelda,table,zeldatable,2,6.05816932004756,Common names and surnames are easy to guess.,9.011415000990247,ok,16,16,0,False,6.43423422550852,ok,204,512,44,True,6.43423422550852,mistral7b_v03,6.734115990103766,6.735264221172502,2.577180775481727,2.577180775481727
gaming_06,gaming,linked,medium,hollowknighthornet,hollowknight|hornet,hollowknight,hornet,hollowknighthornet,3,9.307250928258663,,4.666345749952393,ok,31,27,0,False,5.423233246954431,ok,697,512,1354,True,4.666345749952393,qwen25_1p5b,4.89732678925959,4.9673757456163745,0.7568874970020376,-0.7568874970020376
gaming_06c,gaming,control,medium,hollowknightcandle,hollowknight|candle,hollowknight,candle,hollowknightcandle,3,9.64556115102289,,4.7992840920781745,ok,28,25,0,False,5.227013961886438,ok,720,512,1355,True,4.7992840920781745,qwen25_1p5b,4.962490991979518,5.100314087742156,0.4277298698082639,-0.4277298698082639
gaming_07,gaming,linked,medium,valorant_jett_duelist,valorant|jett|duelist,valorant,jettduelist,valorantjettduelist,4,18.960902736362012,,13.987590572679526,ok,484,458,0,False,9.166960643249423,ok,3279,512,14451,True,9.166960643249423,mistral7b_v03,9.46798407517748,9.467990638913404,4.820629929430103,4.820629929430103
gaming_07c,gaming,control,medium,valorant_jett_lantern,valorant|jett|lantern,valorant,jettlantern,valorantjettlantern,4,17.298273257978305,,13.796293909492386,ok,579,512,19,True,11.447647426748706,ok,3261,512,15784,True,11.447647426748706,mistral7b_v03,11.74673579161762,11.748677422412687,2.34864648274368,2.34864648274368
gaming_08,gaming,linked,long,hollowknightsilksonghornet,hollowknight|silksong|hornet,hollowknight,silksonghornet,hollowknightsilksonghornet,4,16.41453887667664,,14.855050100664482,ok,1824,512,1728,True,9.707682757885648,ok,4689,512,21018,True,9.707682757885648,mistral7b_v03,10.008709660296777,10.008712753549629,5.147367342778834,5.147367342778834
gaming_08c,gaming,control,long,hollowknightsilksongfolder,hollowknight|silksong|folder,hollowknight,silksongfolder,hollowknightsilksongfolder,4,17.010877500286934,,14.719111813557259,ok,1824,512,1800,True,10.392499387393082,ok,4689,512,22554,True,10.392499387393082,mistral7b_v03,10.693508910992191,10.693529383057063,4.326612426164177,4.326612426164177
gacha_anime_01,gacha_anime,linked,short,furinaarchon,furina|archon,furina,archon,furinaarchon,3,9.916629578570188,,6.481275649711039,ok,30,26,0,False,6.0234786930137085,ok,715,512,1433,True,6.0234786930137085,mistral7b_v03,6.194657670471099,6.32450868867769,0.45779695669733034,0.45779695669733034
gacha_anime_01c,gacha_anime,control,short,furinariver,furina|river,furina,river,furinariver,3,8.381746650650452,,6.5088094177252485,ok,16,16,0,False,5.339756570277993,ok,205,512,44,True,5.339756570277993,mistral7b_v03,5.612314583927073,5.6407865659419745,1.1690528474472552,1.1690528474472552
gacha_anime_02,gacha_anime,linked,short,genshinfurina,genshin|furina,genshin,furina,genshinfurina,4,12.49554433893397,,9.244288979450987,ok,28,26,0,False,7.724131073018406,ok,719,512,1401,True,7.724131073018406,mistral7b_v03,8.012244354757433,8.025161068682387,1.5201579064325808,1.5201579064325808
gacha_anime_02c,gacha_anime,control,medium,genshinbicycle,genshin|bicycle,genshin,bicycle,genshinbicycle,4,10.53655096860218,,6.41871092776421,ok,50,49,0,False,5.931944817977778,ok,1177,512,3546,True,5.931944817977778,mistral7b_v03,6.110427284548429,6.232974813641759,0.48676610978643264,0.48676610978643264
gacha_anime_03,gacha_anime,linked,medium,furinafontaine,furina|fontaine,furina,fontaine,furinafontaine,3,9.311220940887383,,7.807969353804104,ok,96,88,0,False,5.947117059213927,ok,1730,512,6359,True,5.947117059213927,mistral7b_v03,6.2422047153955855,6.248147054877908,1.8608522945901775,1.8608522945901775
gacha_anime_03c,gacha_anime,control,short,furinatable,furina|table,furina,table,furinatable,3,8.813083032413598,,10.14314468807175,ok,16,16,0,False,5.3848397232601055,ok,204,512,44,True,5.3848397232601055,mistral7b_v03,5.685862142303177,5.685869718924087,4.758304964811645,4.758304964811645
gacha_anime_04,gacha_anime,linked,short,fontainehydro,fontaine|hydro,fontaine,hydro,fontainehydro,2,7.426077465997655,Common names and surnames are easy to guess.,4.427601311998326,ok,13,13,0,False,5.502322886289224,ok,185,499,0,False,4.427601311998326,qwen25_1p5b,4.693524519141482,4.728631307662307,1.0747215742908978,-1.0747215742908978
gacha_anime_04c,gacha_anime,control,short,fontainepaper,fontaine|paper,fontaine,paper,fontainepaper,2,6.410518097314882,Common names and surnames are easy to guess.,5.622076153852701,ok,13,13,0,False,6.3212750393698025,ok,200,512,30,True,5.622076153852701,qwen25_1p5b,5.843963041956845,5.923106149516682,0.6991988855171014,-0.6991988855171014
gacha_anime_05,gacha_anime,linked,short,frierenfern,frieren|fern,frieren,fern,frierenfern,3,9.503618210761031,,3.978146674901031,ok,8,8,0,False,4.347066416077735,ok,56,137,0,False,3.978146674901031,qwen25_1p5b,4.124557382431268,4.279176670565012,0.368919741176704,-0.368919741176704
gacha_anime_05c,gacha_anime,control,short,frierenkettle,frieren|kettle,frieren,kettle,frierenkettle,4,10.488610698578364,,5.445997591053638,ok,28,25,0,False,6.340864957702017,ok,687,512,1276,True,5.445997591053638,qwen25_1p5b,5.6949537139964335,5.7470275867176195,0.8948673666483788,-0.8948673666483788
gacha_anime_06,gacha_anime,linked,short,GojoDomain,gojo|domain,gojo,domain,gojodomain,2,7.889469783969507,,8.203846961367454,ok,28,28,0,False,6.31396517092344,ok,716,512,1451,True,6.31396517092344,mistral7b_v03,6.60943459713353,6.614995166587422,1.8898817904440133,1.8898817904440133
gacha_anime_06c,gacha_anime,control,short,GojoLamp,gojo|lamp,gojo,lamp,gojolamp,2,7.991801798844644,,8.603953506319401,ok,8,8,0,False,6.169863212165025,ok,55,146,0,False,6.169863212165025,mistral7b_v03,6.469297710709873,6.470893207829007,2.434090294154376,2.434090294154376
gacha_anime_07,gacha_anime,linked,medium,genshinfurinafontaine,genshin|furina|fontaine,genshin,furinafontaine,genshinfurinafontaine,4,16.28947434654916,,15.405448079788364,ok,2001,512,2197,True,12.981851721234161,ok,4815,512,22905,True,12.981851721234161,mistral7b_v03,13.281247271285697,13.282881716898142,2.423596358554203,2.423596358554203
gacha_anime_07c,gacha_anime,control,medium,genshinfurinamushroom,genshin|furina|mushroom,genshin,furinamushroom,genshinfurinamushroom,4,16.1166167120103,,16.554737065190622,ok,2192,512,2182,True,13.474954011174985,ok,4815,512,21671,True,13.474954011174985,mistral7b_v03,13.775622746226016,13.775984006838966,3.0797830540156372,3.0797830540156372
gacha_anime_08,gacha_anime,linked,long,genshinfurinafontainearchon,genshin|furina|fontaine|archon,genshin,furinafontainearchon,genshinfurinafontainearchon,4,20.830204137311842,,22.01786100798703,ok,5073,512,10735,True,17.0680508815186,ok,7887,512,41849,True,17.0680508815186,mistral7b_v03,17.36907600221483,17.369080877182583,4.949810126468428,4.949810126468428
gacha_anime_08c,gacha_anime,control,long,genshinfurinabicyclearchon,genshin|furina|bicycle|archon,genshin,furinabicyclearchon,genshinfurinabicyclearchon,4,20.80918232554227,,21.2576747128059,ok,4613,512,9186,True,19.885463968784432,ok,7375,512,40464,True,19.885463968784432,mistral7b_v03,20.168442331763643,20.186493964448413,1.3722107440214693,1.3722107440214693
tech_web_01,tech_web,linked,short,githubcommit,github|commit,github,commit,githubcommit,2,7.954929598566872,,3.791029282858685,ok,28,25,0,False,2.6262494090725133,ok,718,512,1428,True,2.6262494090725133,mistral7b_v03,2.8985350225243742,2.9272794047364945,1.1647798737861716,1.1647798737861716
tech_web_01c,tech_web,control,short,githubpaper,github|paper,github,paper,githubpaper,2,7.555659027192538,,5.3028213123963095,ok,13,13,0,False,6.029565914549204,ok,200,512,30,True,5.3028213123963095,qwen25_1p5b,5.529177554752455,5.603851308060291,0.7267446021528947,-0.7267446021528947
tech_web_02,tech_web,linked,short,python-pip,python|pip,python,pip,pythonpip,2,7.432809005033168,This is similar to a commonly used password.,5.672713698486374,ok,4,4,0,False,4.616228487591746,ok,15,40,0,False,4.616228487591746,mistral7b_v03,4.880707792423304,4.917258483255727,1.0564852108946283,1.0564852108946283
tech_web_02c,tech_web,control,short,python-river,python|river,python,river,pythonriver,3,8.054630671083332,,7.837888965392491,ok,16,16,0,False,5.612305401367084,ok,205,512,44,True,5.612305401367084,mistral7b_v03,5.910759596606079,5.913335397031065,2.225583564025407,2.225583564025407
tech_web_03,tech_web,linked,short,linuxkernel,linux|kernel,linux,kernel,linuxkernel,2,7.587237943740809,This is similar to a commonly used password.,3.491033808055912,ok,29,27,0,False,3.8328599241504406,ok,693,512,1348,True,3.491033808055912,qwen25_1p5b,3.6291499917011305,3.792063803719893,0.34182611609452884,-0.34182611609452884
tech_web_03c,tech_web,control,short,linuxlamp,linux|lamp,linux,lamp,linuxlamp,2,7.306050235950166,,6.097859992489636,ok,8,8,0,False,4.236986980000048,ok,55,146,0,False,4.236986980000048,mistral7b_v03,4.532074917722201,4.538016975664029,1.8608730124895878,1.8608730124895878
tech_web_04,tech_web,linked,medium,dockercontainer,docker|container,docker,container,dockercontainer,3,8.167004423663535,,3.3521519521324272,ok,186,179,0,False,2.4622583952826416,ok,2242,512,10084,True,2.4622583952826416,mistral7b_v03,2.7106496401186915,2.763288390946623,0.8898935568497857,0.8898935568497857
tech_web_04c,tech_web,control,short,dockerbicycle,docker|bicycle,docker,bicycle,dockerbicycle,2,7.766741953296105,This is similar to a commonly used password.,8.348096203268469,ok,50,49,0,False,7.3510413755724615,ok,1177,512,3546,True,7.3510413755724615,mistral7b_v03,7.610410116294666,7.652071371236443,0.9970548276960072,0.9970548276960072
tech_web_05,tech_web,linked,medium,reactcomponent,react|component,react,component,reactcomponent,2,6.91486072228382,,4.139224221907159,ok,192,177,0,False,4.318195129206011,ok,2254,512,9600,True,4.139224221907159,qwen25_1p5b,4.2195550370009665,4.44025421757114,0.17897090729885168,-0.17897090729885168
tech_web_05c,tech_web,control,short,reacttable,react|table,react,table,reacttable,2,6.334578391864823,,4.275084480822301,ok,16,16,0,False,5.490168142497948,ok,204,512,44,True,4.275084480822301,qwen25_1p5b,4.55042285505781,4.576114476486282,1.2150836616756475,-1.2150836616756475
tech_web_06,tech_web,linked,short,chatgptprompt,chatgpt|prompt,chatgpt,prompt,chatgptprompt,4,10.827800703458784,,3.527472121860298,ok,30,24,0,False,3.517318464401852,ok,721,512,1371,True,3.517318464401852,mistral7b_v03,3.522365620174101,3.8183484600658333,0.010153657458445764,0.010153657458445764
tech_web_06c,tech_web,control,short,chatgptcandle,chatgpt|candle,chatgpt,candle,chatgptcandle,4,10.288023476903714,,7.272893171089234,ok,28,25,0,False,6.981315759757001,ok,720,512,1355,True,6.981315759757001,mistral7b_v03,7.103080720041916,7.282345755420982,0.29157741133223336,0.29157741133223336
tech_web_07,tech_web,linked,medium,openaigptprompt,openai|gpt|prompt,openai,gptprompt,openaigptprompt,4,12.146960771999067,,7.696250059592518,ok,124,96,0,False,7.771164700262057,ok,2170,512,8036,True,7.696250059592518,qwen25_1p5b,7.732094056666394,7.997280055256499,0.07491464066953935,-0.07491464066953935
tech_web_07c,tech_web,control,medium,openaigptfolder,openai|gpt|folder,openai,gptfolder,openaigptfolder,4,12.018168953154333,,9.735865208967928,ok,116,112,0,False,8.84008754542949,ok,2170,512,8440,True,8.84008754542949,mistral7b_v03,9.089146431693388,9.141117541093472,0.8957776635384374,0.8957776635384374
public_culture_01,public_culture,linked,short,BatmanGotham,batman|gotham,batman,gotham,batmangotham,2,6.265100966221937,This is similar to a commonly used password.,2.8879747418263935,ok,28,24,0,False,4.597948730328391,ok,716,512,1427,True,2.8879747418263935,qwen25_1p5b,3.1806176718644252,3.1890047374903747,1.7099739885019978,-1.7099739885019978
public_culture_01c,public_culture,control,short,BatmanGarden,batman|garden,batman,garden,batmangarden,1,5.543273178913283,This is similar to a commonly used password.,5.71626061981141,ok,29,26,0,False,6.884992262951066,ok,693,512,1347,True,5.71626061981141,qwen25_1p5b,5.988798243942993,6.017290615475392,1.1687316431396555,-1.1687316431396555
public_culture_02,public_culture,linked,medium,spidermanpeter,spiderman|peter,spiderman,peter,spidermanpeter,1,4.896526217489555,This is similar to a commonly used password.,4.738217873765839,ok,15,14,0,False,2.877900314540227,ok,204,512,39,True,2.877900314540227,mistral7b_v03,3.172980699489372,3.1789303102042084,1.8603175592256118,1.8603175592256118
public_culture_02c,public_culture,control,medium,spidermanriver,spiderman|river,spiderman,river,spidermanriver,1,5.335257256434531,This is similar to a commonly used password.,5.784402214659654,ok,16,16,0,False,5.503424345030687,ok,205,512,44,True,5.503424345030687,mistral7b_v03,5.621575646810023,5.804454340694668,0.2809778696289671,0.2809778696289671
public_culture_03,public_culture,linked,medium,hogwartsgryffindor,hogwarts|gryffindor,hogwarts,gryffindor,hogwartsgryffindor,4,13.049249662972693,,3.4534253614598227,ok,172,123,0,False,4.297854542420014,ok,2609,512,10478,True,3.4534253614598227,qwen25_1p5b,3.696379746408355,3.754455357123804,0.8444291809601912,-0.8444291809601912
public_culture_03c,public_culture,control,short,hogwartslamp,hogwarts|lamp,hogwarts,lamp,hogwartslamp,2,7.586869909158209,This is similar to a commonly used password.,5.914846642627712,ok,8,8,0,False,5.799357711404709,ok,55,146,0,False,5.799357711404709,mistral7b_v03,5.853274538437523,6.10038770706869,0.11548893122300274,0.11548893122300274
public_culture_04,public_culture,linked,short,starwarsjedi,starwars|jedi,starwars,jedi,starwarsjedi,1,5.364198163676795,This is similar to a commonly used password.,2.301569684950793,ok,7,6,0,False,2.8615683348557126,ok,56,148,0,False,2.301569684950793,qwen25_1p5b,2.4969451887636236,2.6025996806147744,0.5599986499049194,-0.5599986499049194
